no	grade	subject	qtype	sentence	answers_json	level	tags
1	2	english	vocab_keypad	I () to school every day, and she () very early.	["go","wakes"]	easy	present_simple,routine
2	2	english	vocab_keypad	He () his homework and () TV after dinner.	["does","watches"]	easy	present_simple,routine
3	2	english	vocab_keypad	We () breakfast at seven and () to school together.	["eat","walk"]	easy	present_simple,routine
4	2	english	vocab_keypad	She () books in the library and () notes carefully.	["reads","takes"]	easy	present_simple,study
5	2	english	vocab_keypad	They () soccer on weekends and () a good time.	["play","have"]	easy	present_simple,sports
6	2	english	vocab_keypad	My brother () up late and () to bed early.	["gets","goes"]	medium	phrasal_verb,routine
7	2	english	vocab_keypad	Please turn () the lights and () off the TV.	["on","turn"]	medium	phrasal_verb,instruction
8	2	english	vocab_keypad	I am looking () to summer and () about the test.	["forward","worried"]	medium	phrasal_verb,emotion
9	2	english	vocab_keypad	She is good () math and () in science too.	["at","interested"]	medium	idiom,ability
10	2	english	vocab_keypad	Can you take () of my dog and () him water?	["care","give"]	medium	phrasal_verb,request
11	2	english	vocab_keypad	I () my keys yesterday and () them everywhere.	["lost","looked"]	medium	past_simple,problem
12	2	english	vocab_keypad	We () a movie last night and () popcorn together.	["watched","ate"]	easy	past_simple,entertainment
13	2	english	vocab_keypad	He () to music while () his homework yesterday.	["listened","doing"]	medium	past_simple,activity
14	2	english	vocab_keypad	They () basketball after school and () very tired.	["played","felt"]	easy	past_simple,sports
15	2	english	vocab_keypad	My mom () delicious food and () the table nicely.	["cooks","sets"]	easy	present_simple,family
16	2	english	vocab_keypad	I need to look () my sister and () for her.	["after","wait"]	medium	phrasal_verb,responsibility
17	2	english	vocab_keypad	Please wait () me here and () your phone off.	["for","turn"]	medium	phrasal_verb,instruction
18	2	english	vocab_keypad	She is worried () the exam and () very hard.	["about","studies"]	medium	idiom,emotion
19	2	english	vocab_keypad	We should () our best and () giving up.	["do","keep"]	medium	modal_verb,motivation
20	2	english	vocab_keypad	He can () fast and () high too.	["swim","jump"]	medium	modal_verb,ability
21	2	english	vocab_keypad	I () my friend yesterday and () a great time.	["met","had"]	easy	past_simple,social
22	2	english	vocab_keypad	She () a letter and () it to her friend.	["wrote","sent"]	easy	past_simple,communication
23	2	english	vocab_keypad	They () home late and () very hungry then.	["came","were"]	easy	past_simple,routine
24	2	english	vocab_keypad	My father () his car and () it clean always.	["washes","keeps"]	easy	present_simple,routine
25	2	english	vocab_keypad	I () English very much and () it every day.	["like","study"]	easy	present_simple,preference
26	2	english	vocab_keypad	Turn () the radio and () down please.	["on","turn"]	medium	phrasal_verb,instruction
27	2	english	vocab_keypad	I am looking () my pencil and () find it.	["for","cannot"]	medium	phrasal_verb,problem
28	2	english	vocab_keypad	He came () from school and () his snack.	["back","ate"]	medium	phrasal_verb,routine
29	2	english	vocab_keypad	You must () up your room and () it organized.	["clean","keep"]	medium	modal_verb,chore
30	2	english	vocab_keypad	She should () more water and () healthy food.	["drink","eat"]	medium	modal_verb,health
31	2	english	vocab_keypad	I () to the library and () my favorite books.	["go","read"]	easy	present_simple,routine
32	2	english	vocab_keypad	He () his teeth carefully and () his face.	["brushes","washes"]	easy	present_simple,hygiene
33	2	english	vocab_keypad	We () a test yesterday and () all the questions.	["had","answered"]	medium	past_simple,school
34	2	english	vocab_keypad	She () her bike to school and () it there.	["rode","parked"]	easy	past_simple,transportation
35	2	english	vocab_keypad	My sister () pretty dresses and () them often.	["likes","wears"]	easy	present_simple,preference
36	2	english	vocab_keypad	I will take () the trash and () the floor.	["out","sweep"]	medium	phrasal_verb,chore
37	2	english	vocab_keypad	Please speak () in the library and () quietly.	["softly","walk"]	easy	adverb,manner
38	2	english	vocab_keypad	He runs () than me and () more practice.	["faster","needs"]	hard	comparative,ability
39	2	english	vocab_keypad	She is the () student and () very hard.	["best","works"]	hard	superlative,ability
40	2	english	vocab_keypad	We need to find () the answer and () it.	["out","explain"]	medium	phrasal_verb,study
41	2	english	vocab_keypad	I () dinner with my family and () the dishes.	["have","wash"]	easy	present_simple,routine
42	2	english	vocab_keypad	She () her grandparents and () them gifts.	["visited","brought"]	easy	past_simple,family
43	2	english	vocab_keypad	They () to the beach and () in the ocean.	["went","swam"]	easy	past_simple,travel
44	2	english	vocab_keypad	My teacher () us new words and () them clearly.	["teaches","explains"]	easy	present_simple,school
45	2	english	vocab_keypad	I () early this morning and () my breakfast.	["woke","made"]	easy	past_simple,routine
